# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jun 19 06:59:25 2022
#
# User preference: *
#
# CONSTRAINT:  order by pl_bmasse asc, pl_bmassj asc
#
# COLUMN pl_name:        Planet Name
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN st_mass:        Stellar Mass [Solar mass]
#
loc_rowid,pl_name,discoverymethod,disc_year,pl_bmasse,pl_bmassj,pl_rvamp,st_mass
413,EPIC 220674823 b,Transit,2016,,,,0.97
414,EPIC 220674823 b,Transit,2016,,,,
415,EPIC 220674823 c,Transit,2016,,,,0.97
417,EPIC 220674823 c,Transit,2016,,,,0.93
419,EPIC 220674823 c,Transit,2016,,,,
420,EPIC 220674823 c,Transit,2016,,,,0.97
421,EPIC 220674823 c,Transit,2016,,,,
422,EPIC 220674823 c,Transit,2016,,,,
423,EPIC 228836835 b,Transit,2021,,,,
424,EPIC 228836835 b,Transit,2021,,,,0.42
433,G 9-40 b,Transit,2019,,,,0.29
434,G 9-40 b,Transit,2019,,,,
449,GJ 1214 b,Transit,2009,,,,0.18
451,GJ 1214 b,Transit,2009,,,,
454,GJ 1214 b,Transit,2009,,,,
455,GJ 1214 b,Transit,2009,,,,0.18
456,GJ 1214 b,Transit,2009,,,,
457,GJ 1214 b,Transit,2009,,,,
458,GJ 1214 b,Transit,2009,,,,0.18
459,GJ 1214 b,Transit,2009,,,,0.16
461,GJ 1214 b,Transit,2009,,,,0.18
464,GJ 1214 b,Transit,2009,,,,0.16
465,GJ 1252 b,Transit,2020,,,,
466,GJ 1252 b,Transit,2020,,,,0.38
470,GJ 143 b,Transit,2019,,,,
519,GJ 3470 b,Radial Velocity,2012,,,,0.50
520,GJ 3470 b,Radial Velocity,2012,,,,0.50
522,GJ 3470 b,Radial Velocity,2012,,,,0.50
527,GJ 3473 b,Transit,2020,,,,
531,GJ 357 b,Transit,2019,,,,
537,GJ 367 b,Transit,2021,,,,
564,GJ 436 b,Radial Velocity,2004,,,,0.42
567,GJ 436 b,Radial Velocity,2004,,,,0.45
569,GJ 436 b,Radial Velocity,2004,,,,
571,GJ 436 b,Radial Velocity,2004,,,,0.45
579,GJ 436 b,Radial Velocity,2004,,,,0.45
583,GJ 486 b,Radial Velocity,2021,,,,
687,GJ 9827 b,Transit,2017,,,,0.66
690,GJ 9827 c,Transit,2017,,,,0.66
697,GJ 9827 d,Transit,2017,,,,0.66
718,HAT-P-1 b,Transit,2006,,,,
719,HAT-P-1 b,Transit,2006,,,,1.13
723,HAT-P-1 b,Transit,2006,,,,1.13
725,HAT-P-11 b,Transit,2008,,,,0.83
726,HAT-P-11 b,Transit,2008,,,,0.77
727,HAT-P-11 b,Transit,2008,,,,0.83
728,HAT-P-11 b,Transit,2008,,,,0.81
729,HAT-P-11 b,Transit,2008,,,,
731,HAT-P-11 b,Transit,2008,,,,0.77
733,HAT-P-11 b,Transit,2008,,,,0.83
735,HAT-P-11 b,Transit,2008,,,,0.81
736,HAT-P-11 b,Transit,2008,,,,
739,HAT-P-11 b,Transit,2008,,,,0.79
740,HAT-P-11 b,Transit,2008,,,,0.83
745,HAT-P-12 b,Transit,2009,,,,0.74
747,HAT-P-12 b,Transit,2009,,,,0.73
751,HAT-P-12 b,Transit,2009,,,,0.73
752,HAT-P-12 b,Transit,2009,,,,
755,HAT-P-13 b,Transit,2009,,,,
756,HAT-P-13 b,Transit,2009,,,,1.22
766,HAT-P-14 b,Transit,2010,,,,1.39
768,HAT-P-14 b,Transit,2010,,,,1.43
771,HAT-P-14 b,Transit,2010,,,,
781,HAT-P-16 b,Transit,2010,,,,
783,HAT-P-16 b,Transit,2010,,,,1.22
790,HAT-P-17 b,Transit,2010,,,,0.86
792,HAT-P-17 b,Transit,2010,,,,0.92
797,HAT-P-18 b,Transit,2010,,,,0.77
799,HAT-P-18 b,Transit,2010,,,,0.77
800,HAT-P-18 b,Transit,2010,,,,0.77
802,HAT-P-18 b,Transit,2010,,,,0.77
805,HAT-P-19 b,Transit,2010,,,,0.83
807,HAT-P-19 b,Transit,2010,,,,0.84
808,HAT-P-2 b,Transit,2007,,,,
816,HAT-P-2 b,Transit,2007,,,930.000,
819,HAT-P-2 b,Transit,2007,,,,1.33
825,HAT-P-20 b,Transit,2010,,,1247.000,0.73
827,HAT-P-20 b,Transit,2010,,,,0.76
830,HAT-P-21 b,Transit,2010,,,,1.24
835,HAT-P-22 b,Transit,2010,,,,0.92
839,HAT-P-23 b,Transit,2010,,,,1.13
843,HAT-P-23 b,Transit,2010,,,,
844,HAT-P-23 b,Transit,2010,,,,1.13
848,HAT-P-24 b,Transit,2010,,,129.000,
853,HAT-P-24 b,Transit,2010,,,,1.19
856,HAT-P-25 b,Transit,2010,,,,0.99
857,HAT-P-25 b,Transit,2010,,,,1.01
859,HAT-P-26 b,Transit,2010,,,,0.82
863,HAT-P-26 b,Transit,2010,,,,0.85
864,HAT-P-27 b,Transit,2011,,,,0.92
865,HAT-P-27 b,Transit,2011,,,,0.94
869,HAT-P-28 b,Transit,2011,,,,1.02
874,HAT-P-29 b,Transit,2011,,,,1.14
875,HAT-P-29 b,Transit,2011,,,,1.21
879,HAT-P-3 b,Transit,2007,,,,
881,HAT-P-3 b,Transit,2007,,,,0.93
894,HAT-P-30 b,Transit,2011,,,,1.24
897,HAT-P-31 b,Transit,2011,,,,1.31
900,HAT-P-31 b,Transit,2011,,,,1.15
902,HAT-P-32 b,Transit,2011,,,77.000,
903,HAT-P-32 b,Transit,2011,,,,1.16
905,HAT-P-32 b,Transit,2011,,,,
906,HAT-P-32 b,Transit,2011,,,110.000,
913,HAT-P-33 b,Transit,2011,,,,1.38
917,HAT-P-34 b,Transit,2011,,,,1.34
918,HAT-P-34 b,Transit,2011,,,,1.36
920,HAT-P-34 b,Transit,2011,,,,1.39
921,HAT-P-34 b,Transit,2011,,,421.000,
925,HAT-P-35 b,Transit,2011,,,,1.18
932,HAT-P-36 b,Transit,2011,,,,1.02
933,HAT-P-36 b,Transit,2011,,,,1.03
939,HAT-P-37 b,Transit,2011,,,,0.93
941,HAT-P-38 b,Transit,2012,,,,0.88
942,HAT-P-38 b,Transit,2012,,,,0.89
953,HAT-P-4 b,Transit,2007,,,,
959,HAT-P-40 b,Transit,2012,,,,1.51
960,HAT-P-41 b,Transit,2012,,,,1.42
964,HAT-P-41 b,Transit,2012,,,,1.28
967,HAT-P-42 b,Transit,2012,,,,1.18
969,HAT-P-42 b,Transit,2012,,,,1.06
970,HAT-P-43 b,Transit,2012,,,,1.01
971,HAT-P-43 b,Transit,2012,,,,1.03
973,HAT-P-43 b,Transit,2012,,,,1.05
976,HAT-P-44 b,Transit,2014,,,,0.94
977,HAT-P-44 b,Transit,2014,,,,0.86
980,HAT-P-45 b,Transit,2014,,,,0.99
982,HAT-P-46 b,Transit,2014,,,,1.76
987,HAT-P-49 b,Transit,2014,,,,1.54
988,HAT-P-5 b,Transit,2007,,,,1.04
989,HAT-P-5 b,Transit,2007,,,,1.04
990,HAT-P-5 b,Transit,2007,,,,
995,HAT-P-50 b,Transit,2015,,,,1.27
998,HAT-P-50 b,Transit,2015,,,,1.27
1000,HAT-P-51 b,Transit,2015,,,,0.98
1002,HAT-P-52 b,Transit,2015,,,,0.89
1004,HAT-P-52 b,Transit,2015,,,,0.84
1006,HAT-P-53 b,Transit,2015,,,,1.09
1009,HAT-P-54 b,Transit,2015,,,,0.65
1013,HAT-P-55 b,Transit,2015,,,,1.01
1015,HAT-P-55 b,Transit,2015,,,,1.01
1017,HAT-P-56 b,Transit,2015,,,,
1018,HAT-P-56 b,Transit,2015,,,,
1019,HAT-P-56 b,Transit,2015,,,,
1020,HAT-P-56 b,Transit,2015,,,,1.30
1022,HAT-P-56 b,Transit,2015,,,,1.53
1024,HAT-P-57 b,Transit,2015,,,,1.47
1029,HAT-P-59 b,Transit,2021,,,,
1033,HAT-P-6 b,Transit,2007,,,,
1037,HAT-P-6 b,Transit,2007,,,,1.29
1038,HAT-P-60 b,Transit,2021,,,,
1045,HAT-P-65 b,Transit,2016,,,,1.21
1046,HAT-P-66 b,Transit,2016,,,,1.25
1051,HAT-P-69 b,Transit,2019,,,,
1052,HAT-P-69 b,Transit,2019,,,,1.65
1053,HAT-P-7 b,Transit,2008,,,,1.52
1055,HAT-P-7 b,Transit,2008,,,,1.52
1056,HAT-P-7 b,Transit,2008,,,,1.47
1057,HAT-P-7 b,Transit,2008,,,,1.52
1059,HAT-P-7 b,Transit,2008,,,,1.66
1060,HAT-P-7 b,Transit,2008,,,,1.35
1062,HAT-P-7 b,Transit,2008,,,,
1065,HAT-P-7 b,Transit,2008,,,,1.35
1066,HAT-P-7 b,Transit,2008,,,,1.47
1067,HAT-P-7 b,Transit,2008,,,,1.45
1071,HAT-P-7 b,Transit,2008,,,,1.51
1073,HAT-P-70 b,Transit,2019,,,,
1074,HAT-P-70 b,Transit,2019,,,,1.89
1079,HAT-P-8 b,Transit,2008,,,,1.28
1082,HAT-P-9 b,Transit,2008,,,,1.28
1087,HAT-P-9 b,Transit,2008,,,,1.28
1088,HATS-1 b,Transit,2012,,,,0.99
1093,HATS-11 b,Transit,2016,,,,
1094,HATS-11 b,Transit,2016,,,,1.33
1096,HATS-11 b,Transit,2016,,,,
1098,HATS-12 b,Transit,2016,,,,1.16
1099,HATS-12 b,Transit,2016,,,,
1100,HATS-12 b,Transit,2016,,,,
1102,HATS-12 b,Transit,2016,,,,1.21
1105,HATS-13 b,Transit,2015,,,,0.96
1106,HATS-13 b,Transit,2015,,,,0.96
1111,HATS-14 b,Transit,2015,,,,0.97
1114,HATS-16 b,Transit,2016,,,,0.97
1115,HATS-17 b,Transit,2016,,,,1.13
1118,HATS-18 b,Transit,2016,,,,1.04
1120,HATS-2 b,Transit,2013,,,,0.88
1123,HATS-22 b,Transit,2017,,,,0.76
1124,HATS-22 b,Transit,2017,,,,0.76
1129,HATS-24 b,Transit,2017,,,,1.21
1130,HATS-24 b,Transit,2017,,,,1.22
1131,HATS-24 b,Transit,2017,,,,1.07
1132,HATS-25 b,Transit,2016,,,,0.99
1134,HATS-26 b,Transit,2016,,,,1.30
1136,HATS-27 b,Transit,2016,,,,1.42
1139,HATS-28 b,Transit,2016,,,,0.93
1140,HATS-29 b,Transit,2016,,,,1.03
1142,HATS-29 b,Transit,2016,,,,1.03
1144,HATS-3 b,Transit,2013,,,,1.21
1148,HATS-30 b,Transit,2016,,,,1.09
1152,HATS-32 b,Transit,2016,,,,1.10
1154,HATS-33 b,Transit,2016,,,,1.06
1155,HATS-33 b,Transit,2016,,,,1.06
1156,HATS-33 b,Transit,2016,,,,1.06
1158,HATS-34 b,Transit,2016,,,,0.95
1160,HATS-35 b,Transit,2016,,,,1.32
1161,HATS-36 b,Transit,2018,,,,
1162,HATS-36 b,Transit,2018,,,,
1164,HATS-36 b,Transit,2018,,,,1.10
1167,HATS-39 b,Transit,2018,,,,1.38
1170,HATS-4 b,Transit,2014,,,,1.00
1172,HATS-4 b,Transit,2014,,,,1.00
1174,HATS-40 b,Transit,2018,,,,1.56
1175,HATS-41 b,Transit,2018,,,,1.50
1178,HATS-42 b,Transit,2018,,,,1.27
1180,HATS-43 b,Transit,2018,,,,0.84
1181,HATS-43 b,Transit,2018,,,,0.84
1182,HATS-44 b,Transit,2018,,,,0.86
1185,HATS-45 b,Transit,2018,,,,1.27
1186,HATS-46 b,Transit,2018,,,,0.92
1188,HATS-47 b,Transit,2020,,,,0.67
1189,HATS-47 b,Transit,2020,,,,
1191,HATS-48 A b,Transit,2020,,,,
1194,HATS-5 b,Transit,2014,,,,0.94
1196,HATS-5 b,Transit,2014,,,,0.94
1200,HATS-51 b,Transit,2017,,,,1.19
1205,HATS-55 b,Transit,2019,,,,1.20
1208,HATS-57 b,Transit,2019,,,,1.03
1213,HATS-6 b,Transit,2015,,,,0.57
1214,HATS-6 b,Transit,2015,,,,0.57
1216,HATS-60 b,Transit,2018,,,,1.10
1219,HATS-63 b,Transit,2018,,,,0.93
1223,HATS-66 b,Transit,2018,,,,1.41
1226,HATS-68 b,Transit,2018,,,,1.35
1228,HATS-69 b,Transit,2018,,,,0.89
1231,HATS-7 b,Transit,2015,,,,0.85
1233,HATS-70 b,Transit,2019,,,,1.78
1235,HATS-71 b,Transit,2020,,,,0.49
1236,HATS-71 b,Transit,2020,,,,
1238,HATS-72 b,Transit,2020,,,,
1241,HATS-74 A b,Transit,2021,,,,
1243,HATS-75 b,Transit,2021,,,,
1244,HATS-76 b,Transit,2021,,,,
1246,HATS-77 b,Transit,2021,,,,
1251,HATS-9 b,Transit,2015,,,,
1252,HATS-9 b,Transit,2015,,,,1.10
1253,HATS-9 b,Transit,2015,,,,
1256,HD 100546 b,Imaging,2014,,,,2.40
1318,HD 106315 b,Transit,2017,,,8.400,1.07
1319,HD 106315 b,Transit,2017,,,,1.03
1320,HD 106315 b,Transit,2017,,,,1.08
1321,HD 106315 b,Transit,2017,,,,1.12
1323,HD 106315 c,Transit,2017,,,,1.12
1324,HD 106315 c,Transit,2017,,,,1.02
1325,HD 106315 c,Transit,2017,,,,1.08
1326,HD 106315 c,Transit,2017,,,,1.03
1328,HD 106315 c,Transit,2017,,,,1.33
1329,HD 106315 c,Transit,2017,,,4.800,1.07
1345,HD 108236 b,Transit,2020,,,,0.97
1346,HD 108236 b,Transit,2020,,,,0.87
1347,HD 108236 b,Transit,2020,,,,
1348,HD 108236 c,Transit,2020,,,,
1349,HD 108236 c,Transit,2020,,,,0.87
1350,HD 108236 c,Transit,2020,,,,0.97
1351,HD 108236 d,Transit,2020,,,,0.87
1352,HD 108236 d,Transit,2020,,,,0.97
1353,HD 108236 d,Transit,2020,,,,
1354,HD 108236 e,Transit,2020,,,,0.97
1355,HD 108236 e,Transit,2020,,,,
1356,HD 108236 e,Transit,2020,,,,0.87
1357,HD 108236 f,Transit,2021,,,,0.87
1386,HD 110082 b,Transit,2021,,,,
1387,HD 110082 b,Transit,2021,,,,1.21
1389,HD 110113 b,Transit,2021,,,,
1555,HD 1397 b,Transit,2018,,,,
1558,HD 1397 b,Transit,2018,,,,1.32
1628,HD 149026 b,Radial Velocity,2005,,,31.000,
1629,HD 149026 b,Radial Velocity,2005,,,,
1643,HD 152843 b,Transit,2021,,,,
1648,HD 15337 b,Transit,2019,,,,
1649,HD 15337 c,Transit,2019,,,,
1689,HD 158259 b,Radial Velocity,2020,,,,
1870,HD 183579 b,Transit,2021,,,,
1895,HD 189733 b,Radial Velocity,2005,,,200.560,
1900,HD 189733 b,Radial Velocity,2005,,,,
1903,HD 189733 b,Radial Velocity,2005,,,,0.84
1908,HD 189733 b,Radial Velocity,2005,,,,0.81
1909,HD 189733 b,Radial Velocity,2005,,,,
1910,HD 189733 b,Radial Velocity,2005,,,,0.84
1911,HD 189733 b,Radial Velocity,2005,,,,0.84
1930,HD 191939 b,Transit,2020,,,,
1932,HD 191939 b,Transit,2020,,,,0.92
1934,HD 191939 c,Transit,2020,,,,0.92
1935,HD 191939 c,Transit,2020,,,,
1937,HD 191939 d,Transit,2020,,,,0.92
1987,HD 202772 A b,Transit,2019,,,,
2019,HD 207897 b,Transit,2021,,,,
2038,HD 209458 b,Radial Velocity,1999,,,,
2041,HD 209458 b,Radial Velocity,1999,,,,1.13
2047,HD 209458 b,Radial Velocity,1999,,,,1.10
2050,HD 209458 b,Radial Velocity,1999,,,128.000,
2051,HD 209458 b,Radial Velocity,1999,,,,1.13
2053,HD 209458 b,Radial Velocity,1999,,,,1.12
2075,HD 213885 b,Transit,2019,,,,
2114,HD 21749 c,Transit,2019,,,,
2144,HD 219666 b,Transit,2018,,,,0.92
2145,HD 219666 b,Transit,2018,,,,
2161,HD 221416 b,Transit,2019,,,,1.21
2163,HD 221416 b,Transit,2019,,,,
2192,HD 23472 b,Transit,2019,,,,
2195,HD 23472 c,Transit,2019,,,,
2221,HD 2685 b,Transit,2019,,,,
2222,HD 2685 b,Transit,2019,,,,1.43
2278,HD 3167 b,Transit,2016,,,,0.94
2279,HD 3167 b,Transit,2016,,,,0.88
2281,HD 3167 b,Transit,2016,,,,
2283,HD 3167 b,Transit,2016,,,,
2284,HD 3167 b,Transit,2016,,,,0.89
2285,HD 3167 c,Transit,2016,,,,
2286,HD 3167 c,Transit,2016,,,,0.94
2287,HD 3167 c,Transit,2016,,,,0.89
2290,HD 3167 c,Transit,2016,,,,
2291,HD 3167 c,Transit,2016,,,,0.88
2292,HD 3167 c,Transit,2016,,,,
2304,HD 332231 b,Transit,2020,,,,
2306,HD 332231 b,Transit,2020,,,,1.13
2347,HD 37605 b,Radial Velocity,2004,,,262.300,0.92
2490,HD 5278 b,Transit,2021,,,,
2518,HD 63433 b,Transit,2020,,,,0.99
2519,HD 63433 b,Transit,2020,,,,
2520,HD 63433 b,Transit,2020,,,,0.99
2521,HD 63433 c,Transit,2020,,,,0.99
2522,HD 63433 c,Transit,2020,,,,
2523,HD 63433 c,Transit,2020,,,,0.99
2529,HD 63935 b,Transit,2021,,,,
2532,HD 63935 c,Radial Velocity,2021,,,,
2652,HD 80653 b,Transit,2020,,,,
2697,HD 86226 c,Transit,2020,,,,
2752,HD 95338 b,Radial Velocity,2020,,,,
2773,HD 97658 b,Radial Velocity,2010,,,,
2780,HD 97658 b,Radial Velocity,2010,,,,
2825,HIP 41378 b,Transit,2016,,,,1.17
2826,HIP 41378 b,Transit,2016,,,,1.15
2827,HIP 41378 c,Transit,2016,,,,1.17
2828,HIP 41378 c,Transit,2016,,,,1.15
2829,HIP 41378 d,Transit,2016,,,,1.17
2830,HIP 41378 d,Transit,2016,,,,1.14
2831,HIP 41378 d,Transit,2016,,,,1.15
2832,HIP 41378 e,Transit,2016,,,,1.17
2833,HIP 41378 e,Transit,2016,,,,1.15
2834,HIP 41378 f,Transit,2016,,,,1.15
2835,HIP 41378 f,Transit,2016,,,,1.17
2836,HIP 41378 f,Transit,2016,,,,1.14
2854,HIP 65 A b,Transit,2020,,,,
2860,HIP 67522 b,Transit,2020,,,,1.22
2894,HR 858 b,Transit,2019,,,,1.15
2895,HR 858 b,Transit,2019,,,,
2896,HR 858 c,Transit,2019,,,,1.15
2897,HR 858 c,Transit,2019,,,,
2898,HR 858 d,Transit,2019,,,,1.15
2899,HR 8799 b,Imaging,2008,,,,1.61
2900,HR 8799 b,Imaging,2008,,,,1.61
2901,HR 8799 b,Imaging,2008,,,,1.51
2903,HR 8799 c,Imaging,2008,,,,1.51
2904,HR 8799 c,Imaging,2008,,,,1.61
2905,HR 8799 c,Imaging,2008,,,,1.61
2908,HR 8799 d,Imaging,2008,,,,1.61
2909,HR 8799 d,Imaging,2008,,,,1.51
2910,HR 8799 d,Imaging,2008,,,,1.61
2911,HR 8799 e,Imaging,2010,,,,1.51
2912,HR 8799 e,Imaging,2010,,,,1.61
2914,HR 8799 e,Imaging,2010,,,,1.61
2919,K2-10 b,Transit,2015,,,,0.96
2920,K2-10 b,Transit,2015,,,,
2921,K2-10 b,Transit,2015,,,,0.92
2922,K2-10 b,Transit,2015,,,,
2923,K2-10 b,Transit,2015,,,,0.94
2925,K2-10 b,Transit,2015,,,,0.97
2926,K2-100 b,Transit,2016,,,,1.15
2927,K2-100 b,Transit,2016,,,,1.18
2928,K2-100 b,Transit,2016,,,,
2929,K2-100 b,Transit,2016,,,,1.15
2930,K2-100 b,Transit,2016,,,,1.23
2932,K2-100 b,Transit,2016,,,,1.18
2933,K2-100 b,Transit,2016,,,,
2934,K2-100 b,Transit,2016,,,,1.15
2935,K2-100 b,Transit,2016,,,,
2936,K2-101 b,Transit,2016,,,,0.83
2937,K2-101 b,Transit,2016,,,,0.75
2938,K2-101 b,Transit,2016,,,,0.75
2939,K2-101 b,Transit,2016,,,,0.82
2940,K2-101 b,Transit,2016,,,,0.80
2941,K2-101 b,Transit,2016,,,,
2942,K2-101 b,Transit,2016,,,,
2943,K2-102 b,Transit,2016,,,,0.77
2944,K2-102 b,Transit,2016,,,,0.74
2945,K2-104 b,Transit,2016,,,,0.51
2946,K2-104 b,Transit,2016,,,,
2947,K2-104 b,Transit,2016,,,,0.50
2948,K2-104 b,Transit,2016,,,,0.51
2949,K2-104 b,Transit,2016,,,,
2950,K2-104 b,Transit,2016,,,,
2951,K2-104 b,Transit,2016,,,,0.50
2952,K2-104 b,Transit,2016,,,,0.43
2953,K2-105 b,Transit,2017,,,,0.99
2955,K2-105 b,Transit,2017,,,,
2956,K2-105 b,Transit,2017,,,,0.96
2957,K2-105 b,Transit,2017,,,,0.94
2958,K2-105 b,Transit,2017,,,,0.94
2959,K2-105 b,Transit,2017,,,,
2960,K2-105 b,Transit,2017,,,,1.05
2961,K2-107 b,Transit,2017,,,,
2962,K2-107 b,Transit,2017,,,,1.26
2963,K2-107 b,Transit,2017,,,,1.30
2965,K2-107 b,Transit,2017,,,,
2966,K2-108 b,Transit,2017,,,,1.29
2968,K2-108 b,Transit,2017,,,,0.96
2969,K2-108 b,Transit,2017,,,,
2970,K2-108 b,Transit,2017,,,,1.17
2971,K2-108 b,Transit,2017,,,,0.96
2972,K2-108 b,Transit,2017,,,,
2973,K2-11 b,Transit,2015,,,,1.35
2974,K2-11 b,Transit,2015,,,,
2975,K2-11 b,Transit,2015,,,,
2976,K2-11 b,Transit,2015,,,,0.89
